DATE,ER VOICE TRAFFIC   2G /3G,ER BUSY TRAFFIC 2G/3G,ZTE VOICE TRAFFIC 2G/3G,ZTE BUSY TRAFFIC 2G/3G,VLR COUNT,SITE COUNT 2G/3G/4G,TCS SITE COUNT,DATA VOL 2G(GB),DATA VOL 3G(GB),DATA VOL ZTE 4G(GB),DATA VOL TCS 4G(GB),DATA VLR 2G,DATA VLR 3G,DATA VLR ZTE 4G,DATA VLR TCS 4G,VOLTE TRAFFIC ZTE,VOLTE TRAFFIC TCS
16-05-2024,1320/948,122/81,51607/39308,4325/3106,783708,1226/1122/150,,333,35195.4,3769.7,,43329,99837,9044,,420.09,
17-05-2024,1328/985,116/81,49206/37374,4175/3041,792274,1226/1122/150,,333,35027.9,3700,,42576,99293,8961,,417.67,
18-05-2024,1394/970,124/78,49544/37440,4256/2968,801558,1226/1122/150,,326,35513.2,3539.2,,42192,99385,8876,,380.8,
19-05-2024,1306/914,120/81,47350/34342,4021/2883,813647,1226/1122/150,,321,35681.7,3727.9,,43008,96754,8620,,382.65,
20-05-2024,1307/893,123/79,49319/38093,4129/3102,827443,1226/1122/150,,328,34748.4,3571.5,,42801,97940,8904,,400.45,
21-05-2024,1195/942,111/68,50373/37997,4025/3004,834910,1226/1122/150,,339,35377.5,3647.5,,42859,98464,9204,,426.27,
22-05-2024,1211/877,115/76,49542/37206,4139/2937,843219,1226/1122/150,,338,35314.2,3674.1,,42826,97277,8931,,403.78,
23-05-2024,1323/877,129/74,49034/36463,4174/2961,850007,1226/1122/150,,354,35680.9,3524.2,,42743,97541,8650,,375.29,
24-05-2024,1481/917,138/71,48675/36801,3862/2906,856191,1226/1122/150,,349,35135.6,3652,,42712,98948,8652,,386.55,
25-05-2024,1308/825,121/74,45583/33321,3921/2818,864256,1226/1122/150,,323,34838.9,3485.5,,40548,97278,8347,,378.36,
26-05-2024,1316/797,126/65,45591/32165,3904/2715,870364,1226/1122/150,,302,34634.1,3573.8,,41067,96656,8633,,208.27,
27-05-2024,1330/898,128/75,50033/36242,4117/2827,875167,1226/1122/150,,349,33742.9,3510.9,,43104,95732,8712,,277,
28-05-2024,1316/825,121/58,51024/34935,4033/2791,882092,1226/1122/150,,421,33893,3496.9,,46515,92301,8721,,366.1,
29-05-2024,1291/760,112/60,50881/36170,3994/2739,888919,1226/1122/150,,419,32269.2,3381.36,,42743,97273,8654,,399.56,
30-05-2024,1337/857,99/68,50715/35820,4047/2910,896041,1226/1122/150,,417,31802.7,3342.53,,41450,98663,8583,,389.86,
31-05-2024,1404/896,122/59,50033/36242,4117/2827,902426,1226/1122/150,,349,31929.2,3409.27,,45707,80205,7458,,370.08,
01-06-2024,1171/802,94/44,49883/32355,4250/2398,553208,1226/1122/150,,201,31346.3,3438.17,,48830,84492,8829,,409.4,
02-06-2024,1212/803,125/70,47603/28308,3971/2416,575321,1226/1122/150,,403,30265.4,3388.82,,49200,85372,8674,,354.05,
03-06-2024,1206/826,111/64,50952/32549,4047/2684,596702,1226/1122/150,,416,30840.5,3316.27,,49368,88767,8801,,364.52,
04-06-2024,1181/793,113/66,47547/29753,3902/2581,617772,1226/1122/150,,449,33918.9,3793.44,,48236,89351,8585,,346.13,
05-06-2024,1131/854,94/71,49598/32238,4013/2487,634891,1226/1122/150,,418,32029.2,3427.59,,47982,89486,8996,,363.02,
06-06-2024,1191/857,116/73,50788/33276,4188/2703,650845,1226/1122/150,,422,32944.3,3472.36,,48101,90891,9301,,375.41,
07-06-2024,1246/849,121/68,50369/32786,4058/2668,666090,1226/1122/150,,417,32394.7,3312.48,,48414,91607,8908,,358.559,
08-06-2024,1235/840,122/69,50025/32165,3979/2596,680739,1226/1122/150,,412,32569.6,3187.8,,49324,91468,8905,,338.264,
09-06-2024,1211/689,107/53,44963/27679,3577/2166,690291,1226/1122/150,,382,32959.6,2710.77,,47163,91010,8490,,181.032,
10-06-2024,1226/889,97/64,49660/33628,3660/2738,701925,1226/1122/150,,396,32278.2,3091.32,,48598,91705,9108,,353.83,
11-06-2024,1281/908,115/74,48845/33780,3753/2740,714378,1226/1122/150,,377,31781.3,2766.21,,47470,92683,9351,,370.14,
12-06-2024,1336/853,115/64,50442/33848,3899/2625,725898,1226/1122/150,,387,32671.7,3050.4,,47490,93164,8983,,359.7,
13-06-2024,1284/868,118/71,50329/33334,3952/2689,736876,1226/1122/150,,401,32018.3,3317.23,,49218,92837,8983,,378,
14-06-2024,1371/890,118/72,49998/33362,3942/2710,747675,1226/1122/150,,400,32632.8,3274.4,,46460,93167,9003,,362,
15-06-2024,1271/795,131/70,48936/32409,3992/2686,759410,1226/1122/150,,387,32744.7,3375.27,,48477,91930,9084,,369.4,
16-06-2024,1344/762,134/71,46816/29378,3833/2547,772717,1226/1122/150,,361,31894.7,3376.46,,47548,92121,8865,,339.3,
17-06-2024,1333/778,126/67,49358/31917,4134/2738,780264,1226/1122/150,,378,32464.7,3218.31,,45549,92307,8841,,338.5,
18-06-2024,1440/807,120/56,49772/33490,3929/2645,787741,1226/1122/150,,379,31807.2,2882.59,,45997,92678,8336,,335.1,
19-06-2024,1266/755,121/67,49368/33684,3823/2719,796939,1226/1122/150,,377,30855,2952.83,,46215,92540,9061,,350.4,
20-06-2024,1193/811,106/67,50644/33881,4318/2741,805712,1226/1122/150,,379,31230.3,2982.36,,45187,91016,8806,,352.4,
21-06-2024,1172/760,114/59,49238/33432,4238/2737,814221,1226/1122/150,,401,31518.6,2573,,46921,90253,8717,,302.2,
22-06-2024,1338/758,140/61,51467/32871,4131/2648,823526,1226/1122/150,,404,32159.7,3244.31,,46868,92295,8954,,347.3,
23-06-2024,1420/723,139/57,47683/29910,3978/2572,829753,1226/1122/150,,362,32026.8,3327.74,,44934,89644,8739,,328.5,
24-06-2024,1531/818,133/70,51706/34392,4132/2774,835826,1226/1122/150,,377,32047.1,3252.55,,45111,92732,9058,,373.5,
25-06-2024,1436/809,133/69,50164/34531,3844/2842,843387,1226/1122/150,,404,32157.6,3260.48,,48417,91057,9322,,424,
26-06-2024,1472/768,135/55,51129/34233,4097/2786,848698,1226/1122/150,,408,32089.8,3165.25,,48179,91999,9036,,378.2,
27-06-2024,1552/798,146/70,51620/34599,4268/2822,859016,1226/1122/150,,421,32936.3,3306.26,,47930,91371,9215,,401.6,
28-06-2024,1445/813,134/65,51049/33909,4148/2742,865544,1226/1122/150,,438,33304.6,3349.23,,47666,90848,9251,,379.3,
29-06-2024,1416/788,136/67,50183/32456,4314/2657,873042,1226/1122/150,,432,33416.1,3286.98,,46962,88639,8974,,338.1,
30-06-2024,1272/708,119/55,49042/30317,4183/2651,880706,1226/1122/150,,413,33038.8,2986.99,,47982,88147,8565,,283.5,
01-07-2024,1461/728,136/58,52879/34507,4493/2786,543940,1226/1122/150,,408,30907,2776.63,,46826,90311,8983,,329,
02-07-2024,1456/621,140/53,53290/33713,4440/2613,578256,1226/1122/150,,408,30604.5,2897.35,,47522,88307,9257,,357.6,
03-07-2024,1442/693,128/55,50952/32549,4047/2684,600075,1226/1122/150,,408,29262.8,3093.23,,47419,86418,9424,,358.6,
04-07-2024,1420/740,138/56,47547/29753,3902/2581,621413,1226/1122/150,,436,31200.6,3218.29,,49257,89456,9505,,342.6,
05-07-2024,1437/791,139/69,49598/32238,4013/2487,638713,1226/1122/150,,439,32191.6,3316.66,,48640,91341,9558,,358.2,
