BA,OA,District,Village/Site,Village Code,Site ID,AT-3 Date,LOT 
RCH,RCH,KHUNTI,TOTADA,375224,UVJHRCH00408,20-Feb-24,LOT-2
RCH,RCH,Gumla,sipping,VCDM01833,UVJHRCH00179,28-Feb-24,LOT-2
RCH,RCH,SIMDEGA,Taisar,376533,UVJHRCH00223,26-Feb-24,LOT-2
RCH,RCH,SIMDEGA,Auga,376541,UVJHRCH00049,02-Mar-24,LOT-2
DNB,DMK,DUMKA,kanjiya,VCDM01716,UVJHDMK00577,29-Feb-24,LOT-2
DNB,DMK,DUMKA,koldhiya,VCDM01735,UVJHDMK00572,21-Feb-24,LOT-2
DNB,DMK,DUMKA,daulatpur,VCDM01677,UVJHDMK00466,29-Feb-24,LOT-2
Jamshedpur,JSR,PURBI SINGHBHUM,Mukurdih,VCDM01766,UVJHJSR00250,08-May-24,LOT-3
Jamshedpur,JSR,PURBI SINGHBHUM,Appo,363288,UVJHJSR00271,08-May-24,LOT-3
Jamshedpur,JSR,PURBI SINGHBHUM,Badalgora,363977,UVJHJSR00023,09-May-24,LOT-3
Jamshedpur,JSR,PURBI SINGHBHUM,Dadhuakocha,VCDM01660,UVJHJSR00540,08-May-24,LOT-3
Jamshedpur,JSR,PURBI SINGHBHUM,Banakata,363751,UVJHJSR00295,08-May-24,LOT-3
Jamshedpur,JSR,PURBI SINGHBHUM,Khasiyabera,VCDM01730,UVJHJSR00230,09-May-24,LOT-3
Ranchi,RCH,Gumla,Kharpani,376337,UVJHRCH00195,18-Apr-24,LOT-3
Jamshedpur,JSR,PURBI SINGHBHUM,Gumdibera,VCDM01689,UVJHJSR00237,09-May-24,LOT-3
Ranchi,HZB,CHATRA,Rajguru,348259,UVJHHZB00333,8.5.24,LOT-3
Ranchi,HZB,CHATRA,Balhi,348485,UVJHHZB00224,7.5.24,LOT-3
Ranchi,HZB,CHATRA,Sajni,348225,UVJHHZB00054,7.5.24,LOT-3
Jamshedpur,,PASHCHIMI SINGHBHUM,Rabga,377280,UVJHJSR00590,10.5.24,LOT-3
Jamshedpur,,PASHCHIMI SINGHBHUM,Udaya Narayanpur,377194,UVJHJSR00432,10.5.24,LOT-3
Jamshedpur,JSR,PURBI SINGHBHUM,Kekadasha,VCDM01725,UVJHJSR00194,1.5.24,LOT-3
Jamshedpur,DMK,PASHCHIMI SINGHBHUM,Kontari,377111,UVJHJSR00434,10.5.24,LOT-3
Ranchi,DTJ,LATEHAR,Hunjar,367486,UVJHDTJ00457,27.4.24,LOT-3
Ranchi,DTJ,LATEHAR,Mari,367493,UVJHDTJ00346,28.4.24,LOT-3
Ranchi,DTJ,PALAMU,Kharikdag,366077,UVJHDTJ00256,14.3.24,LOT-3
Dhanbad,DMK,DUMKA,vamandih,VCDM01857,UVJHDMK00573,10.5.24,LOT-3
Dhanbad,DMK,DUMKA,Khijuria,369798,UVJHDMK00574,10.5.24,LOT-3
Ranchi,RCH,Gumla,Londra,375778,UVJHRCH00085,1.4.24,LOT-3
Ranchi,RCH,Gumla,Kobja,376313,UVJHRCH00261,30.3.24,LOT-3
Ranchi,RCH,Gumla,Unchdih,375881,UVJHRCH00450,1.4.24,LOT-3
